TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,insurancePremium,totalClaimAmount,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,driverAge,timeAsCustomer,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,educationLevel,claimStatus,incidentSeverity,authoritiesInvolved,numBodilyInjuries,policeReportBool,INCIDENT_STATE,INCIDENT_CITY,incidentTime,AGENT_ID,VENDOR_ID
2020-06-04 00:00:00,TXN00000113,A00004702,PLC00008292,2017-04-25,2020-05-16,2020-05-21,Motor,107.72,3000,Sarah Toms,23 Columbia Drive,,Manchester,CT,6042,020-74-8449,N,62,27,N,4,L,Own,HI,78061437,RXQG14833089665129,Masters,A,Total Loss,Police,0,1,OK,Midwest City,12,AGENT00383,
2020-06-05 00:00:00,TXN00000128,A00008198,PLC00000862,2016-11-13,2020-05-26,2020-05-29,Motor,111.08,5000,John Tefft,5815 West Del Lago Circle,,Glendale,AZ,85308,420-43-9469,Y,41,119,Y,6,L,Mortgage,LI,63139976,OBTX71197753063706,Bachelor,A,Minor Loss,Other,0,0,GA,Savannah,23,AGENT00050,VNDR00183
2020-06-05 00:00:00,TXN00000132,A00004559,PLC00002010,2011-08-12,2020-05-18,2020-05-23,Motor,91.56,5000,Jane Bell,7090 West 64th Avenue,,Arvada,CO,80003,802-40-4317,Y,30,41,Y,7,L,Rent,MI,27894736,RBUR21356434887672,PhD,A,Minor Loss,,1,1,FL,Panama City,9,AGENT00271,
2020-06-05 00:00:00,TXN00000137,A00002413,PLC00000244,2013-08-07,2020-05-31,2020-06-01,Motor,129.58,4000,William Baez,606 National Street,#306,Fayetteville,AR,72701,820-95-0117,Y,39,93,Y,2,L,Mortgage,MI,123569402,EXJL55479234756348,High School,A,Minor Loss,Police,1,1,VT,Thetford,5,AGENT01100,VNDR00423
2020-06-06 00:00:00,TXN00000155,A00000211,PLC00001741,2012-11-23,2020-06-05,2020-06-05,Motor,80.73,4000,Bill Kwok,4444 Hansen Avenue,#APT 224,Fremont,CA,94536,664-86-7600,Y,49,9,Y,4,L,Mortgage,LI,106151675,QMTR98091036140214,Bachelor,A,Minor Loss,Police,0,1,MA,Arlington,16,AGENT00468,VNDR00093
2020-06-06 00:00:00,TXN00000166,A00001756,PLC00004862,2015-12-23,2020-05-23,2020-05-28,Motor,110.4,1000,Florence Merritt,5701 East Shirley Lane,,Montgomery,AL,36117,799-27-1687,N,35,88,Y,5,L,Own,HI,120657401,QTWA00951514096778,Bachelor,A,Minor Loss,Ambulance,0,1,MA,Palmer,6,AGENT00427,VNDR00153
2020-06-07 00:00:00,TXN00000180,A00000105,PLC00007991,2019-01-26,2020-06-05,2020-06-05,Motor,112.42,4000,James Sicard,1211 Castine Court,,Pasadena,MD,21122,774-17-6873,Y,33,14,Y,4,M,Rent,LI,94452606,OCPZ86249073271063,High School,A,Total Loss,,0,1,FL,Panama City,1,AGENT00523,VNDR00251
2020-06-07 00:00:00,TXN00000206,A00003531,PLC00008666,2014-05-26,2020-06-01,2020-06-03,Motor,71.18,7000,Elizabeth Perry,2849 Leawood Drive,,Anchorage,AK,99502,727-37-5292,Y,27,21,N,2,L,Own,LI,25831681,GLPE85946334646106,High School,A,Minor Loss,Other,1,0,MA,Brookline,6,AGENT01015,VNDR00365
2020-06-08 00:00:00,TXN00000210,A00009990,PLC00006419,2013-03-09,2020-06-07,2020-06-07,Motor,78.65,3000,Richard Herrera,1643 Oxford Street,R C,Berkeley,CA,94709,794-89-2970,N,41,14,Y,2,M,Rent,LI,61981854,IDWZ95197967931817,Bachelor,A,Total Loss,Other,1,0,CA,Yucaipa,10,AGENT00226,
2020-06-08 00:00:00,TXN00000213,A00005658,PLC00005739,2015-06-09,2020-05-26,2020-05-31,Motor,95.58,5000,Stuart Menist,505 North Washington Avenue,,Fayetteville,AR,72701,208-44-3944,Y,59,77,Y,4,M,Mortgage,HI,28909769,GTDS26333408418004,MD,A,Major Loss,,0,0,GA,Savannah,11,AGENT00227,VNDR00461
2020-06-09 00:00:00,TXN00000230,A00009382,PLC00008203,2019-02-04,2020-05-24,2020-05-29,Motor,92.14,1000,Anita Granado,809 Blue Ridge Drive,,Edmond,OK,73003,704-55-9141,Y,32,22,Y,6,M,Mortgage,LI,76807431,FXUZ80480500349518,MD,A,Major Loss,Other,1,1,FL,Panama City,7,AGENT00063,VNDR00153
2020-06-09 00:00:00,TXN00000234,A00001399,PLC00006739,2017-06-05,2020-05-21,2020-05-26,Motor,136.01,5000,Darrel Ralph,25 Cliffside Drive,D,Manchester,CT,6042,176-06-3040,N,37,88,Y,6,L,Mortgage,MI,84144157,YAKC79891420748498,PhD,A,Major Loss,Other,0,1,VT,Hartford,15,AGENT00322,VNDR00430
2020-06-09 00:00:00,TXN00000247,A00004413,PLC00009585,2020-01-18,2020-05-20,2020-05-25,Motor,123.3,1000,Latonya Combs,38252 Farwell Drive,,Fremont,CA,94536,843-60-1813,N,54,31,Y,7,L,Rent,LI,86493165,HTBW53744271733154,Bachelor,A,Total Loss,Ambulance,0,1,CA,Hanford,7,AGENT00864,
2020-06-10 00:00:00,TXN00000248,A00004506,PLC00009512,2012-05-26,2020-06-03,2020-06-05,Motor,90.32,5000,Dale Miller,3300 Crystal Road,,Montgomery,AL,36110,372-74-7515,Y,26,106,Y,6,M,Mortgage,HI,66215240,ABGG86475515589450,Bachelor,A,Total Loss,Other,1,1,FL,Panama City,0,AGENT00974,VNDR00204
2020-06-10 00:00:00,TXN00000252,A00004325,PLC00002914,2014-02-08,2020-06-08,2020-06-08,Motor,74.82,6000,Alice Vigue,82 East Foster Street,#2,Melrose,MA,2176,326-24-7077,N,35,50,Y,5,M,Mortgage,MI,11265313,LOIW13712161993216,Bachelor,D,Minor Loss,,0,1,AK,Anchorage,2,AGENT00412,VNDR00517
2020-06-10 00:00:00,TXN00000254,A00004524,PLC00006537,2018-09-28,2020-05-28,2020-06-02,Motor,70.94,4000,Rogelio Joseph,1930 Churchview Court,,Millersville,MD,21108,526-03-0695,Y,50,95,Y,4,M,Rent,LI,18487495,FAMR97689140810133,PhD,A,Total Loss,Ambulance,0,1,CA,San Leandro,10,AGENT00428,VNDR00188
2020-06-10 00:00:00,TXN00000255,A00006293,PLC00003619,2019-02-02,2020-06-02,2020-06-05,Motor,106.17,2000,Joseph White,1309 Columbia Road Northwest,,Washington,DC,20009,895-70-6316,Y,29,30,Y,5,M,Rent,LI,98049837,YBQD23787925253211,High School,A,Minor Loss,,1,1,KY,Louisville,23,AGENT00274,
2020-06-10 00:00:00,TXN00000259,A00002757,PLC00001961,2016-05-12,2020-06-05,2020-06-06,Motor,73.44,1000,Daniel Stephen,1629 South Razorback Road,#108,Fayetteville,AR,72701,379-44-3275,Y,57,95,Y,2,L,Mortgage,HI,94794283,GXPP27675575143499,Bachelor,A,Major Loss,Ambulance,1,1,AK,Anchorage,18,AGENT00808,VNDR00550
2020-06-10 00:00:00,TXN00000261,A00002818,PLC00006148,2014-11-27,2020-06-02,2020-06-05,Motor,129.97,4000,Timothy Williamson,2315 Kimberly Drive,,Nashville,TN,37214,846-13-6037,N,39,17,N,7,M,Own,HI,37959182,BQZV11234475312492,High School,D,Major Loss,Other,0,1,AK,Anchorage,6,AGENT01068,VNDR00307
2020-06-10 00:00:00,TXN00000263,A00008702,PLC00005071,2014-01-22,2020-05-25,2020-05-30,Motor,134.18,4000,Pedro Brown,809 Blue Ridge Drive,,Edmond,OK,73003,097-59-3054,Y,31,7,Y,6,L,Mortgage,HI,103040543,FSDK42268232724058,MD,A,Minor Loss,Police,1,1,AL,Montgomery,1,AGENT00072,VNDR00582
2020-06-10 00:00:00,TXN00000267,A00005752,PLC00003511,2014-08-11,2020-06-07,2020-06-07,Motor,134.54,6000,Marion Smith,4506 Eads Place Northeast,,Washington,DC,20019,528-62-5761,N,36,38,Y,2,L,Rent,MI,74774508,BHHK77740382398037,High School,A,Total Loss,Police,1,0,AR,Fayetteville,1,AGENT00173,VNDR00187
2020-06-11 00:00:00,TXN00000281,A00005861,PLC00002849,2017-08-29,2020-06-02,2020-06-05,Motor,93.9,2000,William Farnsworth,46 Deslauriers Street,,Chicopee,MA,1020,136-46-4352,N,64,117,Y,5,L,Rent,MI,73072612,UAEO26735565846174,High School,A,Major Loss,Police,0,1,DC,Washington,3,AGENT00467,
2020-06-11 00:00:00,TXN00000286,A00003981,PLC00007005,2012-03-22,2020-06-08,2020-06-08,Motor,115.54,5000,Shantel Gray,1811 1st Street Northwest,,Washington,DC,20001,283-22-6098,Y,29,117,Y,5,H,Own,HI,39426972,QUNF95860316966266,Masters,A,Total Loss,Ambulance,1,0,CA,Woodland,5,AGENT00633,VNDR00570
2020-06-12 00:00:00,TXN00000304,A00000358,PLC00009297,2015-08-05,2020-06-06,2020-06-08,Motor,103.16,3000,Graham Skinner,3328 Sunny Meadows Court,,Birmingham,AL,35242,003-64-0387,Y,62,115,Y,7,M,Own,LI,34732917,NGJB85443754980323,High School,A,Minor Loss,,0,0,CT,Manchester,0,AGENT00534,
2020-06-12 00:00:00,TXN00000306,A00005032,PLC00009762,2012-02-07,2020-05-23,2020-05-28,Motor,124.6,5000,Kristy Bradford,3522 Whiting Avenue,,Montgomery,AL,36105,707-57-2977,Y,28,22,N,7,M,Own,MI,52287143,NVFH90389008371299,Bachelor,A,Total Loss,Other,0,1,MA,Somerville,22,AGENT00068,VNDR00141
2020-06-12 00:00:00,TXN00000307,A00001617,PLC00000517,2014-11-28,2020-06-04,2020-06-07,Motor,106.34,8000,Jennifer Walsh,3504 East 16th Avenue,,Anchorage,AK,99508,778-38-2735,Y,37,74,Y,6,M,Own,MI,59690270,HNEV42357323511402,Bachelor,D,Minor Loss,Other,0,1,CT,Manchester,3,AGENT00383,VNDR00222
2020-06-12 00:00:00,TXN00000310,A00009043,PLC00001784,2016-11-09,2020-05-30,2020-06-04,Motor,96.1,6000,Jeanette Bickford,700 Winston Place,,Anchorage,AK,99504,591-79-4495,Y,28,80,Y,7,M,Own,LI,41039276,LADF94635989024501,High School,A,Minor Loss,,1,0,KY,Louisville,12,AGENT00730,
2020-06-13 00:00:00,TXN00000317,A00001251,PLC00003897,2019-05-09,2020-06-08,2020-06-09,Motor,110.44,3000,Lou Preston,605 Main Street,,Watertown,MA,2472,106-61-2305,Y,42,67,Y,7,M,Mortgage,HI,121870999,RSPI98419816419061,Bachelor,A,Total Loss,Ambulance,1,1,AZ,Glendale,19,AGENT00966,VNDR00584
2020-06-13 00:00:00,TXN00000321,A00002955,PLC00006819,2018-12-18,2020-06-01,2020-06-06,Motor,121.7,4000,Lillian Carraway,600 Marshall Street,#125,Louisville,KY,40202,490-23-9174,N,46,101,Y,4,H,Mortgage,MI,127708117,OMXK25928946682034,Bachelor,A,Major Loss,Police,0,0,AR,Fayetteville,8,AGENT00940,VNDR00564
2020-06-13 00:00:00,TXN00000322,A00001742,PLC00009888,2013-02-19,2020-05-24,2020-05-29,Motor,114.12,5000,Sean Jackson,1405 Tolkien Drive,,Conway,AR,72034,112-37-2045,N,61,75,Y,5,H,Rent,HI,89431140,PEDA59585999067619,High School,A,Total Loss,Other,1,0,MD,Annapolis,20,AGENT01013,
2020-06-13 00:00:00,TXN00000324,A00002637,PLC00005447,2016-12-05,2020-06-04,2020-06-07,Motor,104.64,8000,Seth Keisler,5792 Owl Hill Avenue,,Santa Rosa,CA,95409,337-48-1222,Y,56,23,Y,6,L,Own,MI,104951741,BTHU10977164186825,PhD,A,Total Loss,Ambulance,0,0,TN,Nashville,1,AGENT00705,
2020-06-13 00:00:00,TXN00000325,A00007698,PLC00006394,2012-02-10,2020-05-27,2020-06-01,Motor,97.13,6000,Shawn Mency,9515 West 74th Avenue,,Arvada,CO,80005,277-60-5077,Y,51,50,Y,2,L,Mortgage,LI,102390278,IFBB29016112339563,Bachelor,A,Major Loss,Other,0,0,AR,Fayetteville,12,AGENT00643,VNDR00373
2020-06-13 00:00:00,TXN00000336,A00002730,PLC00005571,2014-12-31,2020-06-04,2020-06-07,Motor,81.75,1000,Willie Murphy,6604 Northwest 130th Street,,Oklahoma City,OK,73142,045-15-9160,Y,33,72,Y,5,L,Rent,HI,19967943,XVZD24665957419983,Bachelor,A,Major Loss,Police,1,0,DC,Washington,23,AGENT01009,VNDR00319
2020-06-14 00:00:00,TXN00000342,A00009166,PLC00007889,2010-10-30,2020-06-04,2020-06-07,Motor,90.83,4000,David Bailey,5706 Worchester Drive,,Montgomery,AL,36116,466-42-0700,Y,44,111,Y,5,H,Rent,HI,37040745,VSLM16238798442072,Masters,A,Major Loss,Police,1,0,GA,Savannah,14,AGENT00295,VNDR00153
2020-06-14 00:00:00,TXN00000344,A00009918,PLC00004355,2013-11-22,2020-06-10,2020-06-11,Motor,137.71,8000,Lisa Prieto,301 Willow Way,,Lynn Haven,FL,32444,112-03-8410,Y,63,64,Y,7,L,Own,MI,86373120,FMUY10161519955889,High School,A,Major Loss,,1,0,DC,Washington,11,AGENT00237,
2020-06-14 00:00:00,TXN00000345,A00002725,PLC00001815,2011-12-07,2020-06-08,2020-06-10,Motor,87.64,10000,Norbert Crawford,9403 Fairground Road,,Louisville,KY,40291,858-53-4479,Y,53,97,Y,7,M,Mortgage,HI,95349886,QYDK56708754399229,Bachelor,A,Total Loss,Ambulance,0,1,GA,Savannah,12,AGENT01195,VNDR00365
2020-06-14 00:00:00,TXN00000348,A00004408,PLC00008517,2010-12-16,2020-06-13,2020-06-13,Motor,108.84,4000,Doris Mercado,8300 Dover Way,,Arvada,CO,80005,805-34-8743,Y,57,56,Y,6,M,Own,MI,98076295,BYGX05651989811000,MD,A,Minor Loss,,0,1,AL,Montgomery,6,AGENT00583,
2020-06-14 00:00:00,TXN00000355,A00001937,PLC00006117,2017-06-13,2020-06-11,2020-06-11,Motor,104.97,1000,Sharon Rawlings,14 Huntington Street,,Manchester,CT,6040,744-61-3397,N,55,73,Y,6,M,Mortgage,HI,96549287,CECC45365809369178,Masters,A,Minor Loss,Ambulance,1,1,VT,Reading,21,AGENT00122,VNDR00491
2020-06-14 00:00:00,TXN00000359,A00003819,PLC00004418,2016-05-04,2020-06-09,2020-06-10,Motor,101.29,4000,Sarah Cotto,123 Remember Baker Lane,,Hartford,VT,5001,157-58-5132,N,40,32,Y,4,H,Own,MI,16221970,NSGF84979267001622,High School,A,Major Loss,Police,1,1,CO,Arvada,9,AGENT00116,VNDR00175
2020-06-14 00:00:00,TXN00000360,A00002171,PLC00003975,2012-11-26,2020-05-26,2020-05-31,Motor,121.21,7000,Christopher Larry,28250 Dickens Avenue,,Hayward,CA,94544,197-91-5337,Y,29,71,Y,3,L,Rent,MI,40772356,LWNF99512799642490,Masters,A,Minor Loss,,1,1,AR,Fayetteville,5,AGENT00782,VNDR00499
2020-06-14 00:00:00,TXN00000363,A00000361,PLC00006086,2013-07-07,2020-06-11,2020-06-11,Motor,126.97,5000,Dawn Rivas,13583 West 68th Avenue,,Arvada,CO,80004,815-39-1246,Y,47,41,Y,6,H,Mortgage,HI,86452009,CTQS65618818431695,Masters,A,Major Loss,Ambulance,1,0,CA,San Jose,11,AGENT00423,
2020-06-14 00:00:00,TXN00000367,A00000595,PLC00007959,2012-08-15,2020-06-10,2020-06-11,Motor,104.23,1000,Lynda Carter,2317 Fernwood Drive,,Nashville,TN,37216,551-09-0202,N,61,97,Y,2,L,Mortgage,MI,58678727,ORIO26302912960455,Masters,A,Total Loss,,1,1,MD,Pasadena,9,AGENT00197,VNDR00527
2020-06-15 00:00:00,TXN00000370,A00001993,PLC00005842,2014-11-01,2020-06-13,2020-06-13,Motor,104.1,6000,Carol Ginsberg,178 Old Homestead Road,,Danville,VT,5873,490-21-8737,Y,47,101,Y,4,L,Own,LI,92958801,DUOV29132164878785,Masters,A,Minor Loss,Police,0,1,CA,Sebastopol,6,AGENT00427,VNDR00583
2020-06-15 00:00:00,TXN00000377,A00004912,PLC00005411,2014-07-17,2020-05-31,2020-06-05,Motor,139.24,4000,Christina Foster,9805 Meadow Vale Drive,,Louisville,KY,40242,621-63-2504,N,47,39,Y,3,L,Own,MI,87868883,WAJX38928166280311,Bachelor,A,Minor Loss,Ambulance,1,1,AL,Montgomery,1,AGENT00308,VNDR00553
2020-06-15 00:00:00,TXN00000390,A00005419,PLC00001083,2019-03-28,2020-05-28,2020-06-02,Motor,112.53,8000,Brandon Wilson,2577 East Wyman Road,,Fayetteville,AR,72701,288-93-4145,Y,28,17,Y,3,L,Rent,HI,91003618,LJGC51691695842043,High School,A,Total Loss,,1,0,VT,Brookfield,9,AGENT01057,
2020-06-15 00:00:00,TXN00000394,A00001168,PLC00001674,2015-09-26,2020-06-09,2020-06-11,Motor,113.33,2000,Robert Homan,12022 Town Park Circle,,Anchorage,AK,99577,263-31-6933,N,58,6,Y,5,L,Mortgage,MI,113258121,AEOG60467314432421,High School,A,Major Loss,Ambulance,1,1,OK,Oklahoma City,15,AGENT00563,VNDR00335
2020-06-15 00:00:00,TXN00000397,A00001361,PLC00002947,2015-05-11,2020-06-13,2020-06-13,Motor,78.64,9000,Wanda Chappell,15 Taft Street,,Quincy,MA,2169,063-88-9400,Y,46,23,Y,4,M,Mortgage,MI,126163847,OFOP30828084767109,Bachelor,A,Major Loss,,1,0,OK,Edmond,14,AGENT00746,VNDR00262
2020-06-16 00:00:00,TXN00000411,A00008554,PLC00005893,2010-09-13,2020-06-07,2020-06-10,Motor,91.97,2000,Melinda Scerbo,87 Horseshoe Drive,,West Windsor,VT,5037,445-05-8154,N,61,38,Y,3,M,Own,MI,78343265,VSGD33600341213219,Bachelor,A,Total Loss,Ambulance,0,1,AL,Montgomery,11,AGENT00833,VNDR00189
2020-06-16 00:00:00,TXN00000415,A00003620,PLC00006226,2019-11-16,2020-06-15,2020-06-15,Motor,133.72,9000,Jan Huntley,928 Wright Avenue,#UNIT 505,Mountain View,CA,94043,265-45-7648,N,54,89,Y,6,M,Mortgage,MI,102579743,FLOK48308372504330,High School,A,Major Loss,Ambulance,1,1,FL,Panama City,17,AGENT01086,VNDR00586
2020-06-16 00:00:00,TXN00000420,A00008078,PLC00009482,2012-09-05,2020-05-30,2020-06-04,Motor,91.89,6000,Jerry Patterson,81 Seaton Place Northwest,,Washington,DC,20001,153-63-1963,N,33,118,Y,7,M,Mortgage,MI,40878603,XWPJ93784601962427,Bachelor,A,Total Loss,Ambulance,0,1,CA,Livermore,20,AGENT00707,VNDR00307
2020-06-17 00:00:00,TXN00000426,A00009851,PLC00005491,2017-09-19,2020-06-07,2020-06-10,Motor,116.49,8000,Ian Pew,77 Weaver Road,,Manchester,CT,6042,289-98-7359,Y,54,37,Y,2,M,Own,LI,123657741,FYOQ07452132346223,Bachelor,A,Major Loss,Ambulance,1,1,MA,Revere,19,AGENT00344,
2020-06-17 00:00:00,TXN00000435,A00000274,PLC00009030,2014-07-02,2020-06-16,2020-06-16,Motor,77.08,7000,Greg Davis,2732 Humboldt Avenue,,Oakland,CA,94602,284-82-2317,N,58,52,Y,2,M,Rent,HI,46952439,OFTU99226309760450,Bachelor,A,Minor Loss,Ambulance,1,1,AK,Anchorage,17,AGENT00079,
2020-06-17 00:00:00,TXN00000443,A00000160,PLC00000700,2019-03-26,2020-05-28,2020-06-02,Motor,130.07,5000,Philip Yockey,33300 Mission Boulevard,#APT 174,Union City,CA,94587,745-15-6399,Y,54,50,Y,3,L,Mortgage,MI,85689284,KXPB89077391257032,Masters,A,Minor Loss,,1,0,CA,Ione,9,AGENT00843,VNDR00461
2020-06-17 00:00:00,TXN00000452,A00000545,PLC00002749,2015-12-07,2020-06-03,2020-06-08,Motor,99.6,4000,Judy Greigo,3511 Oakland Zion Road,,Fayetteville,AR,72703,571-97-0773,N,35,36,Y,2,L,Own,MI,107986069,ZTAM08572278493669,Bachelor,D,Total Loss,,0,0,OK,Oklahoma City,5,AGENT01187,VNDR00479
2020-06-18 00:00:00,TXN00000456,A00001467,PLC00004347,2012-06-10,2020-05-29,2020-06-03,Motor,120.59,8000,Denise Mackenzie,2927 Martin Luther King Junior Avenue Southeast,,Washington,DC,20020,821-46-8442,Y,62,66,Y,2,L,Mortgage,HI,129382748,DHNY59163491250738,Bachelor,A,Total Loss,,1,1,GA,Savannah,20,AGENT00466,VNDR00167
